Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;;Doppler
500;8590954.291;1181148.61;-2055179.914;0;0;0;2.619970433;0.751025132;3242748.24;3323827.245;17466830.06;-0.000270438;0;0;0;0;3.602775206;0;2.619970433;0.751025132;0.440869381;-1.149067713;1.02024655;8.440869381;8443.657612;-1606.774619;0;0;86400.5;2163;0;0;488.9129057;;;-8441.583876
600;8591036.291;1181485.529;-2054644.438;0;0;0;2.619734608;0.751105976;3242587.602;3323666.606;17465985.9;-0.000270438;0;0;0;0;3.602465094;0;2.619734608;0.751105976;0.441531428;-1.149293363;1.020292895;8.441531428;8439.557487;-1605.994391;0;0;86400.6;2163;0;0;588.9134416;;;-8437.537499
700;8591118.247;1181822.44;-2054108.95;0;0;0;2.619498724;0.751186793;3242427.041;3323506.046;17465142.15;-0.000270438;0;0;0;0;3.602155159;0;2.619498724;0.751186793;0.442193257;-1.149519072;1.020339227;8.442193257;8435.456824;-1605.214061;0;0;86400.7;2163;0;0;688.9139771;;;-8433.386021
800;8591200.161;1182159.343;-2053573.451;0;0;0;2.619262782;0.751267584;3242266.559;3323345.563;17464298.81;-0.000270438;0;0;0;0;3.601845404;0;2.619262782;0.751267584;0.442854869;-1.14974484;1.020385547;8.442854869;8431.355384;-1604.433583;0;0;86400.8;2163;0;0;788.9145124;;;-8429.287093
900;8591282.031;1182496.238;-2053037.94;0;0;0;2.619026781;0.751348348;3242106.155;3323185.159;17463455.88;-0.000270438;0;0;0;0;3.601535826;0;2.619026781;0.751348348;0.443516264;-1.149970666;1.020431855;8.443516264;8427.253328;-1603.652987;0;0;86400.9;2163;0;0;888.9150475;;;-8425.188165
1000;8591363.858;1182833.126;-2052502.418;0;0;0;2.618790722;0.751429086;3241945.829;3323024.833;17462613.36;-0.000270438;0;0;0;0;3.601226427;0;2.618790722;0.751429086;0.444177441;-1.150196553;1.02047815;8.444177441;8423.150662;-1602.872276;0;0;86401;2163;0;0;988.9155823;;;-8421.089238
1100;8591445.643;1183170.006;-2051966.884;0;0;0;2.618554605;0.751509797;3241785.581;3322864.584;17461771.25;-0.000270438;0;0;0;0;3.600917206;0;2.618554605;0.751509797;0.444838401;-1.150422498;1.020524432;8.444838401;8419.047214;-1602.091416;0;0;86401.1;2163;0;0;1088.916117;;;-8416.99031
1200;8591527.384;1183506.878;-2051431.338;0;0;0;2.618318428;0.751590482;3241625.411;3322704.414;17460929.55;-0.000270438;0;0;0;0;3.600608163;0;2.618318428;0.751590482;0.445499142;-1.150648502;1.020570702;8.445499142;8414.943207;-1601.310449;0;0;86401.2;2163;0;0;1188.916651;;;-8412.891382
1300;8591609.083;1183843.742;-2050895.781;0;0;0;2.618082194;0.751671139;3241465.319;3322544.322;17460088.26;-0.000270438;0;0;0;0;3.600299298;0;2.618082194;0.751671139;0.446159666;-1.150874565;1.02061696;8.446159666;8410.838434;-1600.529337;0;0;86401.3;2163;0;0;1288.917185;;;-8408.792455
1400;8591690.738;1184180.599;-2050360.213;0;0;0;2.6178459;0.751751771;3241305.305;3322384.309;17459247.38;-0.000270438;0;0;0;0;3.599990612;0;2.6178459;0.751751771;0.446819971;-1.151100686;1.020663205;8.446819971;8406.733044;-1599.748107;0;0;86401.4;2163;0;0;1388.917719;;;-8404.693527
