Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);Doppler;Drift
500;6546228.509;-314850.2361;0.001735086;0;0;0;-1.570796321;0.490376075;356910.4971;697478.8593;3665276.144;-0.001135996;0;0;0;0;5.204098159;0;-1.570796321;0.490376075;-1.779146438;4.51E-07;0.538435473;6.220853562;33030.89947;-6285.571176;0;0;86400.5;2163;0;0;497.673461;33021.08798;-186.4883
600;6546263.648;-314118.9414;0.002082341;0;0;0;-1.57079632;0.491429755;356282.1267;696850.479;3661973.983;-0.001135996;0;0;0;0;5.19396653;0;-1.57079632;0.491429755;-1.770388275;4.52E-07;0.53937744;6.229611725;33012.2996;-6282.031738;0;0;86400.6;2163;0;0;597.675557;33002.43915;-187.4822
700;6546298.705;-313387.6428;0.002429686;0;0;0;-1.570796319;0.492486959;355654.1112;696222.4535;3658673.687;-0.001135996;0;0;0;0;5.183846098;0;-1.570796319;0.492486959;-1.761600813;4.53E-07;0.540322932;6.238399187;32993.60051;-6278.47342;0;0;86400.7;2163;0;0;697.6776519;32983.69093;-188.4824
800;6546333.68;-312656.3403;0.002777122;0;0;0;-1.570796318;0.493547705;355026.4524;695594.7849;3655375.266;-0.001135996;0;0;0;0;5.173736871;0;-1.570796318;0.493547705;-1.752783914;4.54E-07;0.541271966;6.247216086;32974.80172;-6274.896129;0;0;86400.8;2163;0;0;797.6797455;32964.84269;-189.4892
900;6546368.573;-311925.0339;0.003124649;0;0;0;-1.570796317;0.494612009;354399.1523;694967.475;3652078.73;-0.001135996;0;0;0;0;5.163638858;0;-1.570796317;0.494612009;-1.743937437;4.56E-07;0.542224558;6.256062563;32955.90289;-6271.299802;0;0;86400.9;2163;0;0;897.681838;32945.89377;-190.5026
1000;6546403.385;-311193.7237;0.003472267;0;0;0;-1.570796316;0.495679889;353772.2128;694340.5256;3648784.089;-0.001135996;0;0;0;0;5.153552068;0;-1.570796316;0.495679889;-1.735061243;4.57E-07;0.543180725;6.264938757;32936.90267;-6267.68418;0;0;86401;2163;0;0;997.6839293;32926.84351;-191.5223
1100;6546438.115;-310462.4095;0.003819976;0;0;0;-1.570796314;0.496751361;353145.6358;693713.9388;3645491.353;-0.001135996;0;0;0;0;5.14347651;0;-1.570796314;0.496751361;-1.726155191;4.58E-07;0.544140485;6.273844809;32917.80103;-6264.049259;0;0;86401.1;2163;0;0;1097.686019;32907.69128;-192.549
1200;6546472.764;-309731.0915;0.004167775;0;0;0;-1.570796313;0.497826442;352519.4233;693087.7164;3642200.532;-0.001135996;0;0;0;0;5.133412192;0;-1.570796313;0.497826442;-1.717219138;4.59E-07;0.545103854;6.282780862;32898.59689;-6260.394833;0;0;86401.2;2163;0;0;1197.688108;32888.43638;-193.5823
1300;6546507.33;-308999.7696;0.004515666;0;0;0;-1.570796312;0.498905149;351893.5771;692461.8604;3638911.637;-0.001135996;0;0;0;0;5.123359126;0;-1.570796312;0.498905149;-1.708252943;4.61E-07;0.546070849;6.291747057;32879.28978;-6256.720811;0;0;86401.3;2163;0;0;1297.690196;32869.07815;-194.6224
1400;6546541.815;-308268.4439;0.004863647;0;0;0;-1.570796311;0.4999875;351268.0994;691836.3729;3635624.678;-0.001135996;0;0;0;0;5.113317319;0;-1.570796311;0.4999875;-1.699256462;4.62E-07;0.547041488;6.300743538;32859.8793;-6253.027119;0;0;86401.4;2163;0;0;1397.692282;32849.61591;-195.6692
1500;6546576.218;-307537.1143;0.005211719;0;0;0;-1.57079631;0.501073512;350642.992;691211.2557;3632339.665;-0.001135996;0;0;0;0;5.103286782;0;-1.57079631;0.501073512;-1.69022955;4.63E-07;0.548015788;6.30977045;32840.36408;-6249.313498;0;0;86401.5;2163;0;0;1497.694367;32830.04899;-196.7229
1600;6546610.54;-306805.7809;0.005559882;0;0;0;-1.570796309;0.502163203;350018.2569;690586.5109;3629056.609;-0.001135996;0;0;0;0;5.093267524;0;-1.570796309;0.502163203;-1.681172064;4.65E-07;0.548993767;6.318827936;32820.74409;-6245.579937;0;0;86401.6;2163;0;0;1597.696451;32810.3767;-197.7835
1700;6546644.78;-306074.4436;0.005908136;0;0;0;-1.570796307;0.503256589;349393.8962;689962.1404;3625775.52;-0.001135996;0;0;0;0;5.083259557;0;-1.570796307;0.503256589;-1.672083856;4.66E-07;0.549975441;6.327916144;32801.0182;-6241.826224;0;0;86401.7;2163;0;0;1697.698534;32790.59835;-198.851
