Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;Doppler;Drift;Jerk
500;6876978.332;213254.6815;-659597.1603;0;0;0;2.828889616;0.623761821;854041.0338;1194608.398;6277709.502;-0.001135996;0;0;0;0;4.20463412;0;2.828889616;0.623761821;-0.639162039;-1.547978027;0.724224622;7.360837961;1291.269786;-245.7204702;0;0;86400.5;2163;0;0;496.0152153;;1276.980393;-285.90641;-0.2422
600;6876981.622;213921.6929;-659347.1743;0;0;0;2.827863091;0.623787041;854016.7337;1194584.098;6277581.804;-0.001135996;0;0;0;0;4.204487907;0;2.827863091;0.623787041;-0.638945288;-1.548998681;0.724245145;7.361054712;1262.680181;-240.2800492;0;0;86400.6;2163;0;0;596.0152964;;1248.389752;-285.93063;-0.236
700;6876984.838;214588.7018;-659097.1804;0;0;0;2.826836471;0.623811699;853992.9776;1194560.342;6277456.966;-0.001135996;0;0;0;0;4.204344963;0;2.826836471;0.623811699;-0.638733365;-1.550019431;0.72426521;7.361266635;1234.088146;-234.8391658;0;0;86400.7;2163;0;0;696.0153756;;1219.796689;-285.95423;-0.2301
800;6876987.982;215255.708;-658847.1785;0;0;0;2.825809758;0.623835795;853969.7657;1194537.13;6277334.987;-0.001135996;0;0;0;0;4.204205289;0;2.825809758;0.623835795;-0.638526273;-1.551040272;0.724284818;7.361473727;1205.493735;-229.3978303;0;0;86400.8;2163;0;0;796.015453;;1191.201266;-285.97724;-0.226
900;6876991.052;215922.7116;-658597.1687;0;0;0;2.824782956;0.623859329;853947.0979;1194514.462;6277215.867;-0.001135996;0;0;0;0;4.204068884;0;2.824782956;0.623859329;-0.638324012;-1.552061204;0.72430397;7.361675988;1176.896971;-223.9560472;0;0;86400.9;2163;0;0;896.0155286;;1162.603542;-285.99984;-0.2186
1000;6876994.05;216589.7125;-658347.1509;0;0;0;2.823756065;0.623882301;853924.9743;1194492.339;6277099.607;-0.001135996;0;0;0;0;4.20393575;0;2.823756065;0.623882301;-0.638126583;-1.553082225;0.724322664;7.361873417;1148.297948;-218.5138341;0;0;86401;2163;0;0;996.0156024;;1134.003558;-286.0217;-0.2144
1100;6876996.975;217256.7108;-658097.1252;0;0;0;2.822729088;0.623904711;853903.3949;1194470.76;6276986.208;-0.001135996;0;0;0;0;4.203805885;0;2.822729088;0.623904711;-0.637933989;-1.554103332;0.724340901;7.362066011;1119.696681;-213.0711938;0;0;86401.1;2163;0;0;1096.015674;;1105.401388;-286.04314;-0.2087
1200;6876999.826;217923.7064;-657847.0916;0;0;0;2.821702027;0.623926558;853882.3598;1194449.725;6276875.668;-0.001135996;0;0;0;0;4.20367929;0;2.821702027;0.623926558;-0.637746229;-1.555124523;0.72435868;7.362253771;1091.093258;-207.6281434;0;0;86401.2;2163;0;0;1196.015745;;1076.797074;-286.06401;-0.2033
1300;6877002.605;218590.6994;-657597.05;0;0;0;2.820674885;0.623947842;853861.869;1194429.234;6276767.989;-0.001135996;0;0;0;0;4.203555966;0;2.820674885;0.623947842;-0.637563306;-1.556145796;0.724376001;7.362436694;1062.487719;-202.1846904;0;0;86401.3;2163;0;0;1296.015813;;1048.190673;-286.08434;-0.19759
1400;6877005.311;219257.6897;-657347.0004;0;0;0;2.819647663;0.623968563;853841.9226;1194409.288;6276663.171;-0.001135996;0;0;0;0;4.203435912;0;2.819647663;0.623968563;-0.637385221;-1.557167149;0.724392865;7.362614779;1033.880116;-196.7408445;0;0;86401.4;2163;0;0;1396.015879;;1019.582239;-286.104099;-0.19182
1500;6877007.944;219924.6773;-657096.9429;0;0;0;2.818620363;0.623988721;853822.5206;1194389.886;6276561.213;-0.001135996;0;0;0;0;4.203319128;0;2.818620363;0.623988721;-0.637211974;-1.55818858;0.724409271;7.362788026;1005.270525;-191.2966203;0;0;86401.5;2163;0;0;1496.015944;;990.9718291;-286.123281;-0.18708
1600;6877010.504;220591.6622;-656846.8775;0;0;0;2.817592988;0.624008316;853803.6631;1194371.028;6276462.117;-0.001135996;0;0;0;0;4.203205614;0;2.817592988;0.624008316;-0.637043568;-1.559210086;0.724425219;7.362956432;976.6589695;-185.8520224;0;0;86401.6;2163;0;0;1596.016007;;962.359501;-286.141989;-0.18129
1700;6877012.991;221258.6444;-656596.8042;0;0;0;2.816565539;0.624027348;853785.35;1194352.715;6276365.881;-0.001135996;0;0;0;0;4.203095371;0;2.816565539;0.624027348;-0.636880002;-1.560231667;0.724440708;7.363119998;948.0455203;-180.407064;0;0;86401.7;2163;0;0;1696.016068;;933.7453021;-286.160118;-0.17553
1800;6877015.405;221925.624;-656346.723;0;0;0;2.81553802;0.624045816;853767.5814;1194334.947;6276272.508;-0.001135996;0;0;0;0;4.202988399;0;2.81553802;0.624045816;-0.636721279;-1.561253318;0.72445574;7.363278721;919.4302431;-174.9617578;0;0;86401.8;2163;0;0;1796.016127;;905.1292903;-286.177671;-0.16973
1900;6877017.746;222592.6008;-656096.6338;0;0;0;2.814510431;0.624063721;853750.3574;1194317.723;6276181.995;-0.001135996;0;0;0;0;4.202884697;0;2.814510431;0.624063721;-0.636567399;-1.562275039;0.724470313;7.363432601;890.8131692;-169.5161097;0;0;86401.9;2163;0;0;1896.016185;;876.5115232;-286.194644;-0.16554
2000;6877020.015;223259.5749;-655846.5367;0;0;0;2.813482776;0.624081062;853733.6779;1194301.044;6276094.345;-0.001135996;0;0;0;0;4.202784266;0;2.813482776;0.624081062;-0.636418363;-1.563296827;0.724484427;7.363581637;862.1943756;-164.0701344;0;0;86402;2163;0;0;1996.016241;;847.8920588;-286.211198;-0.1587
2100;6877022.21;223926.5463;-655596.4317;0;0;0;2.812455056;0.624097839;853717.543;1194284.909;6276009.557;-0.001135996;0;0;0;0;4.202687106;0;2.812455056;0.624097839;-0.636274173;-1.564318679;0.724498083;7.363725827;833.5738917;-158.6238374;0;0;86402.1;2163;0;0;2096.016294;;819.270939;-286.227068;-0.15397
2200;6877024.332;224593.5149;-655346.3187;0;0;0;2.811427273;0.624114053;853701.9528;1194269.319;6275927.63;-0.001135996;0;0;0;0;4.202593217;0;2.811427273;0.624114053;-0.636134829;-1.565340596;0.724511281;7.363865171;804.9517995;-153.1772343;0;0;86402.2;2163;0;0;2196.016346;;790.6482322;-286.242465;-0.14819
2300;6877026.382;225260.4808;-655096.1979;0;0;0;2.81039943;0.624129702;853686.9073;1194254.274;6275848.566;-0.001135996;0;0;0;0;4.202502598;0;2.81039943;0.624129702;-0.636000331;-1.566362571;0.724524019;7.363999669;776.3281478;-147.7303345;0;0;86402.3;2163;0;0;2296.016397;;762.0239857;-286.257284;-0.14242
